id,longitude,latitude
0,-73.1230713,7.1191897
1,-73.119328286,7.127498966
2,-73.128431003,7.123001846
3,-73.1298324,7.12923815
4,-73.1355788,7.1071442
5,-73.119602689,7.110799639
6,-73.121964672,7.125215843
7,-73.1112656,7.1176216
8,-73.1293154,7.1082025
9,-73.132348,7.0890557
10,-73.11519115,7.10716075
11,-73.108446183,7.088178485
12,-73.1215055,7.1196051
13,-73.122889033,7.11309787
14,-73.1654584,7.1023013
15,-73.119557,7.1174244
16,-73.1317737,7.14923665
17,-73.111710036,7.127853304
18,-73.1106621,7.0980141
19,-73.124999449,7.13121
20,-73.1233495,7.1158478
21,-73.138505082,7.164565918
22,-73.11109915,7.10374545
23,-73.1074926,7.1023581
24,-73.118006134,7.118242123
25,-73.125273413,7.14896228
26,-73.11671905,7.1176877
27,-73.117983702,7.085381978
28,-73.114291396,7.109200673
29,-73.106885,7.1001827
30,-73.1026131,7.1351105
31,-73.1197885,7.1219943
32,-73.125187881,7.114617135
33,-73.12173465,7.10512
34,-73.113715511,7.1050782
35,-73.1583161,7.125518
36,-73.133062504,7.141149465
37,-73.121257586,7.112034496
38,-73.1321871,7.158556
39,-73.140182965,7.14922458
40,-73.1297891,7.1337967
41,-73.1245165,7.1286743
42,-73.1357626,7.155786
43,-73.135534312,7.144041503
44,-73.121904157,7.113440238
45,-73.118108338,7.11663328
46,-73.1294611,7.112416991
47,-73.1140048,7.1117854
48,-73.128957665,7.135769045
49,-73.1148662,7.0836639
50,-73.1193716,7.1212079
51,-73.15442665,7.1324018
52,-73.1280251,7.11746705
53,-73.1141558,7.0919048
54,-73.11048369,7.113145629
55,-73.1131569,7.1203119
56,-73.126000719,7.10203991
57,-73.13602,7.09416365
58,-73.1632004,7.0983179
59,-73.133997714,7.146876197
60,-73.11526535,7.1167382
61,-73.127209769,7.114054094
62,-73.131420352,7.136243315
63,-73.1267102,7.1264841
64,-73.108481994,7.117031854
65,-73.1270814,7.1170966
66,-73.1100992,7.0897079
67,-73.1258743,7.1360521
68,-73.1243292,7.1278263
69,-73.116920982,7.108544281
70,-73.1285091,7.0941621
71,-73.112247779,7.109504585
72,-73.1366017,7.1450977
73,-73.1178556,7.1370886
74,-73.110519049,7.099870906
75,-73.117823,7.1081777
76,-73.1279692,7.1435352
77,-73.120694293,7.110258651
78,-73.122214059,7.083956616
79,-73.131043819,7.114922052
80,-73.1202185,7.1228993
81,-73.130942638,7.135004357
82,-73.13307097,7.150126867
83,-73.12697685,7.11936445
84,-73.1275475,7.1263112
85,-73.1176383,7.1326614
86,-73.113204181,7.1309466
87,-73.132125,7.0872723
88,-73.12016285,7.102933562
89,-73.1206623,7.1243574
90,-73.147420095,7.15046917
91,-73.1214478,7.1129176
92,-73.130086536,7.134967732
93,-73.1417732,7.1553678
94,-73.107815,7.1005366
95,-73.1313209,7.1543642
96,-73.114190152,7.108256809
97,-73.126384231,7.117876642
98,-73.1153972,7.0859487
99,-73.1125499,7.1299817
100,-73.1144258,7.1102891
101,-73.1352695,7.1202682
102,-73.102636299,7.096935701
103,-73.131004829,7.08539087
104,-73.1113661,7.1227231
105,-73.12737325,7.1224065
106,-73.115549274,7.118994548
107,-73.1068555,7.091432
108,-73.11997585,7.10825785
109,-73.11539565,7.1178004
110,-73.109794006,7.109673768
111,-73.114443557,7.097551824
112,-73.132794811,7.138910489
113,-73.127306,7.12017235
114,-73.126142906,7.137215128
115,-73.12250745,7.10074925
116,-73.1482783,7.08380955
117,-73.119824252,7.091308897
118,-73.1283695,7.1208442
119,-73.121829255,7.116011196
120,-73.1198797,7.11636555
121,-73.129460711,7.100329223
122,-73.1211951,7.1188628
123,-73.1373488,7.1069448
124,-73.106258238,7.091470696
125,-73.1207,7.1178276
126,-73.123476644,7.10374065
127,-73.1094535,7.1074206
128,-73.1128228,7.1266032
129,-73.106125073,7.10408528
130,-73.115110297,7.114474442
131,-73.110139407,7.104218246
132,-73.113573573,7.103576498
133,-73.115773603,7.107837062
134,-73.113566994,7.102155216
135,-73.12483,7.1211401
136,-73.1201008,7.1102656
137,-73.120318751,7.134638049
138,-73.114850889,7.11351433
139,-73.1101965,7.11142095
140,-73.1182988,7.10954435
141,-73.1254096,7.1378094
142,-73.1166872,7.1050959
143,-73.0992578,7.133096
144,-73.1194597,7.1232076
145,-73.115185005,7.115664364
146,-73.1110351,7.11659365
147,-73.11681325,7.1221966
148,-73.12894175,7.1133813
149,-73.11758425,7.1239819
150,-73.142101864,7.101950086
151,-73.1348751,7.1075386
152,-73.122253499,7.082329502
153,-73.13106665,7.11607285
154,-73.12329761,7.081846888
155,-73.1092759,7.1133613
156,-73.1098415,7.1191139
157,-73.115868504,7.127442039
158,-73.114042,7.0991349
159,-73.1296162,7.1369913
160,-73.116278737,7.084706406
161,-73.115973616,7.11984062
162,-73.1242397,7.11484925
163,-73.117743456,7.109060977
164,-73.14774135,7.0839075
165,-73.11823965,7.10441265
166,-73.13037745,7.1320754
167,-73.11353305,7.0853443
168,-73.12303265,7.11531235
169,-73.1073551,7.1122045
170,-73.1175044,7.1032869
171,-73.132363166,7.097982559
172,-73.1223834,7.1048191
173,-73.120952,7.1206581
174,-73.1271728,7.1334009
175,-73.1102905,7.0891882
176,-73.128428844,7.126203968
177,-73.11141975,7.1188488
178,-73.1085161,7.1155459
179,-73.11710545,7.1229968
180,-73.107114101,7.089872216
181,-73.126302379,7.123301006
182,-73.114529742,7.106522201
183,-73.1107441,7.1243223
184,-73.112590983,7.125681855
185,-73.127056172,7.128202071
186,-73.1312195,7.11143185
187,-73.10987915,7.13110625
188,-73.119579494,7.107077914
189,-73.116564052,7.121387789
190,-73.111270031,7.086039194
191,-73.11484035,7.0881983
192,-73.113864716,7.12477676
193,-73.1166268,7.1094684
194,-73.1119758,7.12185375
195,-73.1245655,7.1156579
196,-73.10950825,7.108003
197,-73.1179761,7.1265844
198,-73.1240293,7.11878865
199,-73.1302478,7.1446286
200,-73.1257369,7.0973129
201,-73.11973616,7.097107633
202,-73.109421,7.0873044
203,-73.1162825,7.12060875
204,-73.1287823,7.1195874
205,-73.1221633,7.1168435
206,-73.1248923,7.11845015
207,-73.1257582,7.1207519
208,-73.134571069,7.151532763
209,-73.126235024,7.114032611
210,-73.128865764,7.117270747
211,-73.108399294,7.126482183
212,-73.13011245,7.0920499
213,-73.1391817,7.12066265
214,-73.1142643,7.1201806
215,-73.1276969,7.1191115
216,-73.1285053,7.1187921
217,-73.121099118,7.082935966
218,-73.1191307,7.0979434
219,-73.12528205,7.0868136
220,-73.1315625,7.11765935
221,-73.12107875,7.11385105
222,-73.1297125,7.1148393
223,-73.1108758,7.0916817
224,-73.11298005,7.12733185
225,-73.122444839,7.085379465
226,-73.1245491,7.1202467
227,-73.127338089,7.098883702
228,-73.139802516,7.104742489
229,-73.130114412,7.130661418
230,-73.135761868,7.113394192
231,-73.1268777,7.1273521
232,-73.126325539,7.089088774
233,-73.116590362,7.087956906
234,-73.1179481,7.12472235
235,-73.12919665,7.1259232
236,-73.124505,7.1177145
237,-73.14351445,7.15319485
238,-73.12993235,7.11309435
239,-73.1091459,7.1009886
240,-73.108485448,7.097132015
241,-73.1097362,7.1090723
242,-73.1235041,7.1073315
243,-73.1248043,7.1129187
244,-73.1221251,7.1211471
245,-73.11162315,7.1199247
246,-73.1255113,7.1293322
247,-73.135446892,7.108430963
248,-73.1307928,7.1020005
249,-73.1206324,7.1312006
250,-73.1254701,7.1199193
251,-73.1159606,7.113596
252,-73.1118267,7.12110025
253,-73.11074215,7.1078352
254,-73.097556378,7.105711611
255,-73.125329,7.1175037
256,-73.1199502,7.1182257
257,-73.1186655,7.1197121
258,-73.1174729,7.1318237
259,-73.119991235,7.111374618
260,-73.12615195,7.11730545
261,-73.1159205,7.1096578
262,-73.1121968,7.1127468
263,-73.10009805,7.1164966
264,-73.1107175,7.1189782
265,-73.1122032,7.12333975
266,-73.1238205,7.1166044
267,-73.1099462,7.110274
268,-73.1159347,7.10543745
269,-73.12961,7.1117904
270,-73.1018894,7.1373954
271,-73.11065235,7.11439335
272,-73.1142022,7.1036278
273,-73.120974438,7.106519009
274,-73.118003614,7.110298009
275,-73.1165644,7.0874901
276,-73.1109189,7.1156909
277,-73.135585491,7.08786935
278,-73.1153982,7.1239207
279,-73.114651496,7.112013312
280,-73.1186748,7.1181408
281,-73.1252761,7.0893479
282,-73.116637971,7.110517692
283,-73.121131148,7.087276849
284,-73.097244323,7.101478983
285,-73.1252578,7.1369478
286,-73.1227242,7.1226168
287,-73.1276734,7.1160477
288,-73.13373,7.1315897
289,-73.1251082,7.1362221
290,-73.126584,7.13592175
291,-73.1314525,7.1121589
292,-73.131142504,7.150035761
293,-73.1256606,7.1037888
294,-73.112292472,7.124014193
295,-73.1221665,7.1259707
296,-73.124405159,7.146942297
297,-73.1259262,7.0996989
298,-73.118800751,7.115892142
299,-73.106618853,7.098014772
300,-73.115051,7.132337
301,-73.107140041,7.101098899
302,-73.120105211,7.109439867
303,-73.1163379,7.10878545
304,-73.106144123,7.112823758
305,-73.126246187,7.152202627
306,-73.1305545,7.1123782
307,-73.127392,7.1298667
308,-73.119255016,7.095977158
309,-73.1219338,7.1291736
310,-73.13133305,7.11688485
311,-73.12005935,7.0784226
312,-73.120482527,7.137494367
313,-73.118405366,7.113025436
314,-73.1242421,7.1363674
315,-73.124898785,7.084916965
316,-73.1256234,7.11815835
317,-73.1188749,7.1141175
318,-73.1302304,7.1138937
319,-73.1343695,7.1566098
320,-73.1144348,7.1256817
321,-73.134175241,7.147987594
322,-73.1171393,7.1301343
323,-73.127913659,7.113501234
324,-73.1318677,7.1157895
325,-73.1206674,7.11988335
326,-73.122382218,7.115811131
327,-73.131732486,7.120768869
328,-73.12397545,7.13053605
329,-73.1159712,7.116814
330,-73.1217987,7.120338
331,-73.1344066,7.1306739
332,-73.1288545,7.12428525
333,-73.1261935,7.1283523
334,-73.1234275,7.0769213
335,-73.11406865,7.10738775
336,-73.1265721,7.1204544
337,-73.122510393,7.124765
338,-73.140193035,7.147673681
339,-73.121151849,7.125568569
340,-73.1296737,7.1284117
341,-73.1244013,7.1250535
342,-73.1216986,7.11514755
343,-73.1212535,7.1214658
344,-73.107371577,7.111148447
345,-73.1278317,7.0998355
346,-73.1128238,7.11146905
347,-73.120074138,7.132186135
348,-73.1108826,7.1249997
349,-73.1133742,7.1156371
350,-73.123055991,7.134675983
351,-73.11820235,7.08099765
352,-73.1081655,7.1135798
353,-73.133989163,7.153197011
354,-73.129041303,7.125222714
355,-73.10103915,7.10271785
356,-73.1191357,7.1323585
357,-73.1072185,7.1231359
358,-73.1229231,7.141777
359,-73.1082274,7.1165324
360,-73.12575685,7.1162999
361,-73.116933726,7.111129958
362,-73.112328724,7.115319432
363,-73.096964,7.0993357
364,-73.1098282,7.1132599
365,-73.1093161,7.1168908
366,-73.1252417,7.1222585
367,-73.118007598,7.07667429
368,-73.127509,7.1152596
369,-73.1142357,7.1181388
370,-73.1175602,7.1259125
371,-73.1229919,7.1232721
372,-73.1095134,7.0883821
373,-73.1380603,7.0910871
374,-73.1276945,7.1211592
375,-73.126809511,7.124993507
376,-73.130923615,7.102647765
377,-73.1166525,7.11689
378,-73.1538354,7.1337182
379,-73.1163269,7.1256281
380,-73.130385993,7.121708086
381,-73.1307075,7.1521869
382,-73.115409774,7.084557949
383,-73.12724,7.11766475
384,-73.109528566,7.105731675
385,-73.12297265,7.1298716
386,-73.1202023,7.1044748
387,-73.1224984,7.1220353
388,-73.10864085,7.12319765
389,-73.1241544,7.1269837
390,-73.1339718,7.15212075
391,-73.116808745,7.106462827
392,-73.1154518,7.0820344
393,-73.124043553,7.088215016
394,-73.1100292,7.1357786
395,-73.1232665,7.0831394
396,-73.11212635,7.1163656
397,-73.1145338,7.1152421
398,-73.128036946,7.133225997
399,-73.1156783,7.1088829
400,-73.1159348,7.1248917
401,-73.11310645,7.1092184
402,-73.119811,7.12474315
403,-73.1316348,7.11120985
404,-73.1373208,7.1573737
405,-73.1323563,7.11082445
406,-73.116716,7.1244347
407,-73.117828234,7.137598209
408,-73.1158869,7.1321591
409,-73.129361265,7.12678777
410,-73.117087698,7.084777227
411,-73.120427215,7.125841007
412,-73.12397,7.1029461
413,-73.106713693,7.129271156
414,-73.12872953,7.133980574
415,-73.1059184,7.1097607
416,-73.1306993,7.1337086
417,-73.107258,7.0944562
418,-73.11348673,7.123286486
419,-73.1074131,7.0957891
420,-73.1279998,7.1198745
421,-73.1150183,7.10598865
422,-73.1224672,7.1273187
423,-73.133894518,7.150961261
424,-73.123529285,7.137112929
425,-73.1267436,7.1464219
426,-73.1248981,7.1164262
427,-73.141315,7.104105
428,-73.1206047,7.11644905
429,-73.108393,7.1149053
430,-73.1316784,7.1400838
431,-73.1387727,7.1259258
432,-73.1158927,7.1115647
433,-73.109295579,7.09506446
434,-73.1090738,7.1154371
435,-73.112331699,7.113664263
436,-73.131691408,7.10004753
437,-73.1431532,7.1653117
438,-73.1319631,7.137431
439,-73.130499104,7.1394401
440,-73.1189519,7.1223036
441,-73.114040249,7.096790113
442,-73.1216204,7.1318843
443,-73.13442085,7.10931
444,-73.1153738,7.0880107
445,-73.1278985,7.1245619
446,-73.138184284,7.106264532
447,-73.1171291,7.1251897
448,-73.1124436,7.1247281
449,-73.1447608,7.0890071
450,-73.0958477,7.1066591
451,-73.1261483,7.1218505
452,-73.12210703,7.081510756
453,-73.138117,7.1598166
454,-73.1239109,7.1261471
455,-73.1252255,7.1247551
456,-73.117027663,7.107720056
457,-73.107327419,7.113676638
458,-73.11789705,7.113769
459,-73.1661062,7.0993872
460,-73.12210025,7.1185413
461,-73.1073767,7.0935044
462,-73.1112753,7.0907245
463,-73.121312,7.1262888
464,-73.1057582,7.1085705
465,-73.1126675,7.0852939
466,-73.117419519,7.119223697
467,-73.119009447,7.104083726
468,-73.1178659,7.1120121
469,-73.1185727,7.126278
470,-73.119444494,7.129532731
471,-73.128750319,7.13475056
472,-73.12602075,7.13189965
473,-73.1213018,7.13466045
474,-73.1395282,7.1625799
475,-73.1190259,7.12047795
476,-73.12434501,7.092505469
477,-73.1169666,7.1292873
478,-73.1136078,7.1209222
479,-73.1098545,7.1167946
480,-73.1267374,7.12415505
481,-73.1233083,7.1315585
482,-73.12262,7.1325623
483,-73.11309625,7.1012392
484,-73.1278287,7.13646
485,-73.1318207,7.1133861
486,-73.124324612,7.132247374
487,-73.1176576,7.0862338
488,-73.1247056,7.1258126
489,-73.133419024,7.142213107
490,-73.16434655,7.10415625
491,-73.1236458,7.1253533
492,-73.11608835,7.08013135
493,-73.131246632,7.157316862
494,-73.1283517,7.1151365
495,-73.10743455,7.11504645
496,-73.130535797,7.132894366
497,-73.1306898,7.1482693
498,-73.1202184,7.1209228
499,-73.12312785,7.11669735
500,-73.1198105,7.1076394
501,-73.1294642,7.1321063
502,-73.127086043,7.096861946
503,-73.1232058,7.12176
504,-73.10714525,7.1308143
505,-73.1347379,7.1218788
506,-73.118568,7.1215017
507,-73.1254515,7.11553525
508,-73.104581696,7.100623343
509,-73.1145044,7.1332701
510,-73.109334371,7.091895509
511,-73.1274421,7.1182588
512,-73.129871379,7.140444883
513,-73.113672,7.1062289
514,-73.1139823,7.1197896
515,-73.1151573,7.1099218
516,-73.126937599,7.154150279
517,-73.1055996,7.1140825
518,-73.1151633,7.1252781
519,-73.1120857,7.1225935
520,-73.1158008,7.1227512
521,-73.1238265,7.1296925
522,-73.114875791,7.128241128
523,-73.1124267,7.118604
524,-73.1276765,7.1357109
525,-73.13507745,7.119319255
526,-73.1288545,7.1330807
527,-73.1261071,7.1244178
528,-73.1298648,7.1249232
529,-73.13385015,7.10975015
530,-73.1178167,7.1334982
531,-73.1186969,7.1297978
532,-73.1082418,7.1205047
533,-73.1091495,7.1192203
534,-73.11867395,7.10995945
535,-73.11356315,7.128415105
536,-73.1377856,7.10749055
537,-73.1231013,7.1264559
538,-73.1173436,7.11150785
539,-73.1181341,7.0867133
540,-73.1181874,7.12078115
541,-73.1100544,7.1202054
542,-73.1127872,7.0907351
543,-73.1295424,7.1193051
544,-73.1236997,7.1179817
545,-73.12004309,7.132916674
546,-73.1174409,7.0788107
547,-73.1262486,7.1196312
548,-73.1228602,7.1107415
549,-73.1299431,7.1386367
550,-73.12920585,7.114147
551,-73.103013357,7.112116722
552,-73.1291207,7.1205194
553,-73.1018758,7.1324893
554,-73.1193169,7.10638185
555,-73.1149746,7.1210555
556,-73.120928515,7.110921884
557,-73.1301061,7.1182159
558,-73.1264162,7.1384757
559,-73.1306016,7.1196128
560,-73.126893816,7.136967162
561,-73.108962,7.1148027
562,-73.1170541,7.0859815
563,-73.12622145,7.10055695
564,-73.11919445,7.10769925
565,-73.1307867,7.1442802
566,-73.1179038,7.13621095
567,-73.134909254,7.141911576
568,-73.132187863,7.138111298
569,-73.141414445,7.102742455
570,-73.1292573,7.1185077
571,-73.1202115,7.1124338
572,-73.1211072,7.1293666
573,-73.112465348,7.108465117
574,-73.108011667,7.124509191
575,-73.1224572,7.1317069
576,-73.1086318,7.1193308
577,-73.1190927,7.10575395
578,-73.12213285,7.13449765
579,-73.115516486,7.104292556
580,-73.11257445,7.13428935
581,-73.1267028,7.1309024
582,-73.1129812,7.1000934
583,-73.124559188,7.137239043
584,-73.1278422,7.1169549
585,-73.1162703,7.103993014
586,-73.13120505,7.11862125
587,-73.132413633,7.101267401
588,-73.1208975,7.1226569
589,-73.1084565,7.1216938
590,-73.11266235,7.1144851
591,-73.140897923,7.109275327
592,-73.112723911,7.119458399
593,-73.1223361,7.1266847
594,-73.1429161,7.1028541
595,-73.1075939,7.11023995
596,-73.1093935,7.0866225
597,-73.1265424,7.1146745
598,-73.129761744,7.117009915
599,-73.1112419,7.1219953
600,-73.1238287,7.1340801
601,-73.11260782,7.133551549
602,-73.124693,7.1294934
603,-73.111506,7.1234529
604,-73.1169989,7.1142157
605,-73.1255561,7.1230161
606,-73.122255448,7.09894255
607,-73.119461249,7.134956094
608,-73.1280052,7.1219156
609,-73.1296917,7.1241028
610,-73.1133575,7.1183675
611,-73.1233291,7.1271554
612,-73.110503,7.1228699
613,-73.1098536,7.122991
614,-73.1090287,7.1215864
615,-73.114816872,7.102900071
616,-73.1103471,7.1258675
617,-73.1090197,7.1183831
618,-73.113217631,7.09868885
619,-73.12440805,7.144539
620,-73.1239666,7.1214954
621,-73.135509678,7.15055488
622,-73.1193642,7.0840953
623,-73.1327113,7.1199394
624,-73.10131915,7.0980833
625,-73.130979888,7.098447146
626,-73.1118432,7.1255818
627,-73.132488,7.121558
628,-73.1162031,7.129447
629,-73.1061736,7.1184858
630,-73.110257852,7.096318898
631,-73.1137621,7.1260641
632,-73.1162534,7.1124293
633,-73.12241705,7.11752395
634,-73.109398,7.1238162
635,-73.1268229,7.1161394
636,-73.1182674,7.1255296
637,-73.1292987,7.1312455
638,-73.1094755,7.1208887
639,-73.12873416,7.104135962
640,-73.106685,7.1104698
641,-73.112241707,7.129118365
642,-73.1150161,7.1363888
643,-73.126977123,7.097845615
644,-73.1047304,7.1096861
645,-73.1181764,7.1144378
646,-73.118434,7.1281848
647,-73.1248828,7.1012635
648,-73.116186,7.12348
649,-73.123289392,7.12411313
650,-73.1104248,7.1275537
651,-73.1119153,7.1282728
652,-73.1249483,7.1353551
653,-73.116185625,7.083079849
654,-73.128138574,7.102722251
655,-73.1173069,7.1309852
656,-73.1072976,7.1219828
657,-73.1265292,7.1300369
